,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Title,Embarked_C,Embarked_Q,Embarked_S
52,1,1,0,49.0,1,0,17572,76.7292,3,True,False,False
53,1,2,0,29.0,1,0,2926,26.0,3,False,False,True
54,0,1,1,65.0,0,1,113509,61.9792,2,True,False,False
55,1,1,1,28.0,0,0,19947,35.5,2,False,False,True
56,1,2,0,21.0,0,0,31026,10.5,1,False,False,True
57,0,3,1,28.5,0,0,2697,7.2292,2,True,False,False
58,1,2,0,5.0,1,2,34651,27.75,1,False,False,True
59,0,3,1,11.0,5,2,2144,46.9,0,False,False,True
60,0,3,1,22.0,0,0,2669,7.2292,2,True,False,False
61,1,1,0,38.0,0,0,113572,80.0,1,False,False,True
62,0,1,1,45.0,1,0,36973,83.475,2,False,False,True
63,0,3,1,4.0,3,2,347088,27.9,0,False,False,True
64,0,1,1,28.0,0,0,17605,27.7208,2,True,False,False
65,1,3,1,28.0,1,1,2661,15.2458,0,True,False,False
66,1,2,0,29.0,0,0,29395,10.5,3,False,False,True
67,0,3,1,19.0,0,0,3464,8.1583,2,False,False,True
68,1,3,0,17.0,4,2,3101281,7.925,1,False,False,True
69,0,3,1,26.0,2,0,315151,8.6625,2,False,False,True
70,0,2,1,32.0,0,0,33111,10.5,2,False,False,True
71,0,3,0,16.0,5,2,2144,46.9,1,False,False,True
72,0,2,1,21.0,0,0,14879,73.5,2,False,False,True
73,0,3,1,26.0,1,0,2680,14.4542,2,True,False,False
74,1,3,1,32.0,0,0,1601,56.4958,2,False,False,True
75,0,3,1,25.0,0,0,348123,7.65,2,False,False,True
76,0,3,1,28.0,0,0,349208,7.8958,2,False,False,True
77,0,3,1,28.0,0,0,374746,8.05,2,False,False,True
78,1,2,1,0.83,0,2,248738,29.0,0,False,False,True
79,1,3,0,30.0,0,0,364516,12.475,1,False,False,True
80,0,3,1,22.0,0,0,345767,9.0,2,False,False,True
81,1,3,1,29.0,0,0,345779,9.5,2,False,False,True
82,1,3,0,28.0,0,0,330932,7.7875,1,False,True,False
83,0,1,1,28.0,0,0,113059,47.1,2,False,False,True
84,1,2,0,17.0,0,0,14885,10.5,1,False,False,True
85,1,3,0,33.0,3,0,3101278,15.85,3,False,False,True
86,0,3,1,16.0,1,3,6608,34.375,2,False,False,True
87,0,3,1,28.0,0,0,392086,8.05,2,False,False,True
88,1,1,0,23.0,3,2,19950,263.0,1,False,False,True
89,0,3,1,24.0,0,0,343275,8.05,2,False,False,True
90,0,3,1,29.0,0,0,343276,8.05,2,False,False,True
91,0,3,1,20.0,0,0,347466,7.8542,2,False,False,True
92,0,1,1,46.0,1,0,5734,61.175,2,False,False,True
93,0,3,1,26.0,1,2,2315,20.575,2,False,False,True
94,0,3,1,59.0,0,0,364500,7.25,2,False,False,True
95,0,3,1,28.0,0,0,374910,8.05,2,False,False,True
96,0,1,1,71.0,0,0,17754,34.6542,2,True,False,False
97,1,1,1,23.0,0,1,17759,63.3583,2,True,False,False
98,1,2,0,34.0,0,1,231919,23.0,3,False,False,True
99,0,2,1,34.0,1,0,244367,26.0,2,False,False,True
100,0,3,0,28.0,0,0,349245,7.8958,1,False,False,True
101,0,3,1,28.0,0,0,349215,7.8958,2,False,False,True
102,0,1,1,21.0,0,1,35281,77.2875,2,False,False,True
103,0,3,1,33.0,0,0,7540,8.6542,2,False,False,True
104,0,3,1,37.0,2,0,3101276,7.925,2,False,False,True
105,0,3,1,28.0,0,0,349207,7.8958,2,False,False,True
106,1,3,0,21.0,0,0,343120,7.65,1,False,False,True
107,1,3,1,28.0,0,0,312991,7.775,2,False,False,True
108,0,3,1,38.0,0,0,349249,7.8958,2,False,False,True
109,1,3,0,28.0,1,0,371110,24.15,1,False,True,False
110,0,1,1,47.0,0,0,110465,52.0,2,False,False,True
111,0,3,0,14.5,1,0,2665,14.4542,1,True,False,False
112,0,3,1,22.0,0,0,324669,8.05,2,False,False,True
113,0,3,0,20.0,1,0,4136,9.825,1,False,False,True
114,0,3,0,17.0,0,0,2627,14.4583,1,True,False,False
115,0,3,1,21.0,0,0,23101294,7.925,2,False,False,True
116,0,3,1,70.5,0,0,370369,7.75,2,False,True,False
117,0,2,1,29.0,1,0,11668,21.0,2,False,False,True
118,0,1,1,24.0,0,1,17558,247.5208,2,True,False,False
119,0,3,0,2.0,4,2,347082,31.275,1,False,False,True
120,0,2,1,21.0,2,0,14879,73.5,2,False,False,True
121,0,3,1,28.0,0,0,454510,8.05,2,False,False,True
122,0,2,1,32.5,1,0,237736,30.0708,2,True,False,False
123,1,2,0,32.5,0,0,27267,13.0,1,False,False,True
124,0,1,1,54.0,0,1,35281,77.2875,2,False,False,True
125,1,3,1,12.0,1,0,2651,11.2417,0,True,False,False
126,0,3,1,28.0,0,0,370372,7.75,2,False,True,False
127,1,3,1,24.0,0,0,17369,7.1417,2,False,False,True
128,1,3,0,28.0,1,1,2668,22.3583,1,True,False,False
129,0,3,1,45.0,0,0,347061,6.975,2,False,False,True
130,0,3,1,33.0,0,0,349241,7.8958,2,True,False,False
131,0,3,1,20.0,0,0,3101307,7.05,2,False,False,True
132,0,3,0,47.0,1,0,53337,14.5,3,False,False,True
133,1,2,0,29.0,1,0,228414,26.0,3,False,False,True
134,0,2,1,25.0,0,0,29178,13.0,2,False,False,True
135,0,2,1,23.0,0,0,2133,15.0458,2,True,False,False
136,1,1,0,19.0,0,2,11752,26.2833,1,False,False,True
137,0,1,1,37.0,1,0,113803,53.1,2,False,False,True
138,0,3,1,16.0,0,0,7534,9.2167,2,False,False,True
139,0,1,1,24.0,0,0,17593,79.2,2,True,False,False
140,0,3,0,28.0,0,2,2678,15.2458,3,True,False,False
141,1,3,0,22.0,0,0,347081,7.75,1,False,False,True
142,1,3,0,24.0,1,0,23101279,15.85,3,False,False,True
143,0,3,1,19.0,0,0,365222,6.75,2,False,True,False
144,0,2,1,18.0,0,0,231945,11.5,2,False,False,True
145,0,2,1,19.0,1,1,33112,36.75,2,False,False,True
146,1,3,1,27.0,0,0,350043,7.7958,2,False,False,True
147,0,3,0,9.0,2,2,6608,34.375,1,False,False,True
148,0,2,1,36.5,0,2,230080,26.0,2,False,False,True
149,0,2,1,42.0,0,0,244310,13.0,4,False,False,True
150,0,2,1,51.0,0,0,1166,12.525,4,False,False,True
151,1,1,0,22.0,1,0,113776,66.6,3,False,False,True
152,0,3,1,55.5,0,0,511206,8.05,2,False,False,True
153,0,3,1,40.5,0,2,5851,14.5,2,False,False,True
154,0,3,1,28.0,0,0,265302,7.3125,2,False,False,True
155,0,1,1,51.0,0,1,17597,61.3792,2,True,False,False
156,1,3,0,16.0,0,0,35851,7.7333,1,False,True,False
157,0,3,1,30.0,0,0,392090,8.05,2,False,False,True
158,0,3,1,28.0,0,0,315037,8.6625,2,False,False,True
159,0,3,1,28.0,8,2,2343,69.55,0,False,False,True
160,0,3,1,44.0,0,1,371362,16.1,2,False,False,True
161,1,2,0,40.0,0,0,33595,15.75,3,False,False,True
162,0,3,1,26.0,0,0,347068,7.775,2,False,False,True
163,0,3,1,17.0,0,0,315093,8.6625,2,False,False,True
164,0,3,1,1.0,4,1,3101295,39.6875,0,False,False,True
165,1,3,1,9.0,0,2,363291,20.525,0,False,False,True
166,1,1,0,28.0,0,1,113505,55.0,3,False,False,True
167,0,3,0,45.0,1,4,347088,27.9,3,False,False,True
168,0,1,1,28.0,0,0,17318,25.925,2,False,False,True
169,0,3,1,28.0,0,0,1601,56.4958,2,False,False,True
170,0,1,1,61.0,0,0,111240,33.5,2,False,False,True
171,0,3,1,4.0,4,1,382652,29.125,0,False,True,False
172,1,3,0,1.0,1,1,347742,11.1333,1,False,False,True
173,0,3,1,21.0,0,0,23101280,7.925,2,False,False,True
174,0,1,1,56.0,0,0,17764,30.6958,2,True,False,False
175,0,3,1,18.0,1,1,350404,7.8542,2,False,False,True
176,0,3,1,28.0,3,1,4133,25.4667,0,False,False,True
177,0,1,0,50.0,0,0,17595,28.7125,1,True,False,False
178,0,2,1,30.0,0,0,250653,13.0,2,False,False,True
180,0,3,0,28.0,8,2,2343,69.55,1,False,False,True
181,0,2,1,28.0,0,0,2131,15.05,2,True,False,False
182,0,3,1,9.0,4,2,347077,31.3875,0,False,False,True
183,1,2,1,1.0,2,1,230136,39.0,0,False,False,True
184,1,3,0,4.0,0,2,315153,22.025,1,False,False,True
185,0,1,1,28.0,0,0,113767,50.0,2,False,False,True
186,1,3,0,28.0,1,0,370365,15.5,3,False,True,False
187,1,1,1,45.0,0,0,111428,26.55,2,False,False,True
188,0,3,1,40.0,1,1,364849,15.5,2,False,True,False
189,0,3,1,36.0,0,0,349247,7.8958,2,False,False,True
190,1,2,0,32.0,0,0,234604,13.0,3,False,False,True
191,0,2,1,19.0,0,0,28424,13.0,2,False,False,True
192,1,3,0,19.0,1,0,350046,7.8542,1,False,False,True
193,1,2,1,3.0,1,1,230080,26.0,0,False,False,True
194,1,1,0,44.0,0,0,17610,27.7208,3,True,False,False
195,1,1,0,58.0,0,0,17569,146.5208,1,True,False,False
196,0,3,1,28.0,0,0,368703,7.75,2,False,True,False
197,0,3,1,42.0,0,1,4579,8.4042,2,False,False,True
198,1,3,0,28.0,0,0,370370,7.75,1,False,True,False
199,0,2,0,24.0,0,0,248747,13.0,1,False,False,True
200,0,3,1,28.0,0,0,345770,9.5,2,False,False,True
201,0,3,1,28.0,8,2,2343,69.55,2,False,False,True
202,0,3,1,34.0,0,0,3101264,6.4958,2,False,False,True
203,0,3,1,45.5,0,0,2628,7.225,2,True,False,False
204,1,3,1,18.0,0,0,53540,8.05,2,False,False,True
205,0,3,0,2.0,0,1,347054,10.4625,1,False,False,True
206,0,3,1,32.0,1,0,3101278,15.85,2,False,False,True
207,1,3,1,26.0,0,0,2699,18.7875,2,True,False,False
208,1,3,0,16.0,0,0,367231,7.75,1,False,True,False
209,1,1,1,40.0,0,0,112277,31.0,2,True,False,False
210,0,3,1,24.0,0,0,3101311,7.05,2,False,False,True
211,1,2,0,35.0,0,0,13528,21.0,1,False,False,True
212,0,3,1,22.0,0,0,521174,7.25,2,False,False,True
213,0,2,1,30.0,0,0,250646,13.0,2,False,False,True
214,0,3,1,28.0,1,0,367229,7.75,2,False,True,False
215,1,1,0,31.0,1,0,35273,113.275,1,True,False,False
216,1,3,0,27.0,0,0,23101283,7.925,1,False,False,True
217,0,2,1,42.0,1,0,243847,27.0,2,False,False,True
218,1,1,0,32.0,0,0,11813,76.2917,1,True,False,False
219,0,2,1,30.0,0,0,14208,10.5,2,False,False,True
220,1,3,1,16.0,0,0,392089,8.05,2,False,False,True
221,0,2,1,27.0,0,0,220367,13.0,2,False,False,True
222,0,3,1,51.0,0,0,21440,8.05,2,False,False,True
223,0,3,1,28.0,0,0,349234,7.8958,2,False,False,True
224,1,1,1,38.0,1,0,19943,90.0,2,False,False,True
225,0,3,1,22.0,0,0,4348,9.35,2,False,False,True
226,1,2,1,19.0,0,0,751,10.5,2,False,False,True
227,0,3,1,20.5,0,0,521173,7.25,2,False,False,True
228,0,2,1,18.0,0,0,236171,13.0,2,False,False,True
229,0,3,0,28.0,3,1,4133,25.4667,1,False,False,True
230,1,1,0,35.0,1,0,36973,83.475,3,False,False,True
231,0,3,1,29.0,0,0,347067,7.775,2,False,False,True
232,0,2,1,59.0,0,0,237442,13.5,2,False,False,True
233,1,3,0,5.0,4,2,347077,31.3875,1,False,False,True
234,0,2,1,24.0,0,0,29566,10.5,2,False,False,True
235,0,3,0,28.0,0,0,6609,7.55,1,False,False,True
236,0,2,1,44.0,1,0,26707,26.0,2,False,False,True
237,1,2,0,8.0,0,2,31921,26.25,1,False,False,True
238,0,2,1,19.0,0,0,28665,10.5,2,False,False,True
239,0,2,1,33.0,0,0,1585,12.275,2,False,False,True
240,0,3,0,28.0,1,0,2665,14.4542,1,True,False,False
241,1,3,0,28.0,1,0,367230,15.5,1,False,True,False
242,0,2,1,29.0,0,0,14263,10.5,2,False,False,True
243,0,3,1,22.0,0,0,23101275,7.125,2,False,False,True
244,0,3,1,30.0,0,0,2694,7.225,2,True,False,False
245,0,1,1,44.0,2,0,19928,90.0,4,False,True,False
246,0,3,0,25.0,0,0,347071,7.775,1,False,False,True
247,1,2,0,24.0,0,2,250649,14.5,3,False,False,True
248,1,1,1,37.0,1,1,11751,52.5542,2,False,False,True
249,0,2,1,54.0,1,0,244252,26.0,4,False,False,True
250,0,3,1,28.0,0,0,362316,7.25,2,False,False,True
251,0,3,0,29.0,1,1,347054,10.4625,3,False,False,True
252,0,1,1,62.0,0,0,113514,26.55,2,False,False,True
253,0,3,1,30.0,1,0,53336,16.1,2,False,False,True
254,0,3,0,41.0,0,2,370129,20.2125,3,False,False,True
255,1,3,0,29.0,0,2,2650,15.2458,3,True,False,False
256,1,1,0,28.0,0,0,17585,79.2,3,True,False,False
257,1,1,0,30.0,0,0,110152,86.5,1,False,False,True
258,1,1,0,35.0,0,0,17755,512.3292,1,True,False,False
259,1,2,0,50.0,0,1,230433,26.0,3,False,False,True
260,0,3,1,28.0,0,0,384461,7.75,2,False,True,False
261,1,3,1,3.0,4,2,347077,31.3875,0,False,False,True
262,0,1,1,52.0,1,1,110413,79.65,2,False,False,True
263,0,1,1,40.0,0,0,112059,0.0,2,False,False,True
264,0,3,0,28.0,0,0,382649,7.75,1,False,True,False
265,0,2,1,36.0,0,0,17248,10.5,2,False,False,True
266,0,3,1,16.0,4,1,3101295,39.6875,2,False,False,True
267,1,3,1,25.0,1,0,347083,7.775,2,False,False,True
268,1,1,0,58.0,0,1,17582,153.4625,3,False,False,True
269,1,1,0,35.0,0,0,17760,135.6333,1,False,False,True
270,0,1,1,28.0,0,0,113798,31.0,2,False,False,True
272,1,2,0,41.0,0,1,250644,19.5,3,False,False,True
273,0,1,1,37.0,0,1,17596,29.7,2,True,False,False
274,1,3,0,28.0,0,0,370375,7.75,1,False,True,False
275,1,1,0,63.0,1,0,13502,77.9583,1,False,False,True
276,0,3,0,45.0,0,0,347073,7.75,1,False,False,True
277,0,2,1,28.0,0,0,239853,0.0,2,False,False,True
278,0,3,1,7.0,4,1,382652,29.125,0,False,True,False
279,1,3,0,35.0,1,1,2673,20.25,3,False,False,True
280,0,3,1,65.0,0,0,336439,7.75,2,False,True,False
281,0,3,1,28.0,0,0,347464,7.8542,2,False,False,True
282,0,3,1,16.0,0,0,345778,9.5,2,False,False,True
283,1,3,1,19.0,0,0,510482,8.05,2,False,False,True
284,0,1,1,28.0,0,0,113056,26.0,2,False,False,True
285,0,3,1,33.0,0,0,349239,8.6625,2,True,False,False
286,1,3,1,30.0,0,0,345774,9.5,2,False,False,True
287,0,3,1,22.0,0,0,349206,7.8958,2,False,False,True
288,1,2,1,42.0,0,0,237798,13.0,2,False,False,True
289,1,3,0,22.0,0,0,370373,7.75,1,False,True,False
290,1,1,0,26.0,0,0,19877,78.85,1,False,False,True
291,1,1,0,19.0,1,0,11967,91.0792,3,True,False,False
292,0,2,1,36.0,0,0,2163,12.875,2,True,False,False
293,0,3,0,24.0,0,0,349236,8.85,1,False,False,True
294,0,3,1,24.0,0,0,349233,7.8958,2,False,False,True
295,0,1,1,28.0,0,0,17612,27.7208,2,True,False,False
296,0,3,1,23.5,0,0,2693,7.2292,2,True,False,False
297,0,1,0,2.0,1,2,113781,151.55,1,False,False,True
298,1,1,1,28.0,0,0,19988,30.5,2,False,False,True
299,1,1,0,50.0,0,1,17558,247.5208,3,True,False,False
300,1,3,0,28.0,0,0,9234,7.75,1,False,True,False
301,1,3,1,28.0,2,0,367226,23.25,2,False,True,False
303,1,2,0,28.0,0,0,226593,12.35,1,False,True,False
304,0,3,1,28.0,0,0,52466,8.05,2,False,False,True
305,1,1,1,0.92,1,2,113781,151.55,0,False,False,True
306,1,1,0,28.0,0,0,17421,110.8833,1,True,False,False
307,1,1,0,17.0,1,0,17758,108.9,3,True,False,False
308,0,2,1,30.0,1,0,3381,24.0,2,True,False,False
309,1,1,0,30.0,0,0,17485,56.9292,1,True,False,False
310,1,1,0,24.0,0,0,11767,83.1583,1,True,False,False
311,1,1,0,18.0,2,2,17608,262.375,1,True,False,False
312,0,2,0,26.0,1,1,250651,26.0,3,False,False,True
313,0,3,1,28.0,0,0,349243,7.8958,2,False,False,True
314,0,2,1,43.0,1,1,13529,26.25,2,False,False,True
315,1,3,0,26.0,0,0,347470,7.8542,1,False,False,True
316,1,2,0,24.0,1,0,244367,26.0,3,False,False,True
317,0,2,1,54.0,0,0,29011,14.0,4,False,False,True
318,1,1,0,31.0,0,2,36928,164.8667,1,False,False,True
319,1,1,0,40.0,1,1,16966,134.5,3,True,False,False
320,0,3,1,22.0,0,0,521172,7.25,2,False,False,True
321,0,3,1,27.0,0,0,349219,7.8958,2,False,False,True
322,1,2,0,30.0,0,0,234818,12.35,1,False,True,False
323,1,2,0,22.0,1,1,248738,29.0,3,False,False,True
324,0,3,1,28.0,8,2,2343,69.55,2,False,False,True
325,1,1,0,36.0,0,0,17760,135.6333,1,True,False,False
326,0,3,1,61.0,0,0,345364,6.2375,2,False,False,True
327,1,2,0,36.0,0,0,28551,13.0,3,False,False,True
328,1,3,0,31.0,1,1,363291,20.525,3,False,False,True
329,1,1,0,16.0,0,1,111361,57.9792,1,True,False,False
330,1,3,0,28.0,2,0,367226,23.25,1,False,True,False
331,0,1,1,45.5,0,0,113043,28.5,2,False,False,True
332,0,1,1,38.0,0,1,17582,153.4625,2,False,False,True
333,0,3,1,16.0,2,0,345764,18.0,2,False,False,True
334,1,1,0,28.0,1,0,17611,133.65,3,False,False,True
335,0,3,1,28.0,0,0,349225,7.8958,2,False,False,True
336,0,1,1,29.0,1,0,113776,66.6,2,False,False,True
337,1,1,0,41.0,0,0,16966,134.5,1,True,False,False
338,1,3,1,45.0,0,0,7598,8.05,2,False,False,True
339,0,1,1,45.0,0,0,113784,35.5,2,False,False,True
340,1,2,1,2.0,1,1,230080,26.0,0,False,False,True
341,1,1,0,24.0,3,2,19950,263.0,1,False,False,True
342,0,2,1,28.0,0,0,248740,13.0,2,False,False,True
343,0,2,1,25.0,0,0,244361,13.0,2,False,False,True
344,0,2,1,36.0,0,0,229236,13.0,2,False,False,True
345,1,2,0,24.0,0,0,248733,13.0,1,False,False,True
346,1,2,0,40.0,0,0,31418,13.0,1,False,False,True
347,1,3,0,28.0,1,0,386525,16.1,3,False,False,True
348,1,3,1,3.0,1,1,37671,15.9,0,False,False,True
349,0,3,1,42.0,0,0,315088,8.6625,2,False,False,True
350,0,3,1,23.0,0,0,7267,9.225,2,False,False,True
351,0,1,1,28.0,0,0,113510,35.0,2,False,False,True
352,0,3,1,15.0,1,1,2695,7.2292,2,True,False,False
353,0,3,1,25.0,1,0,349237,17.8,2,False,False,True
354,0,3,1,28.0,0,0,2647,7.225,2,True,False,False
355,0,3,1,28.0,0,0,345783,9.5,2,False,False,True
356,1,1,0,22.0,0,1,113505,55.0,1,False,False,True
357,0,2,0,38.0,0,0,237671,13.0,1,False,False,True
358,1,3,0,28.0,0,0,330931,7.8792,1,False,True,False
359,1,3,0,28.0,0,0,330980,7.8792,1,False,True,False
360,0,3,1,40.0,1,4,347088,27.9,2,False,False,True
361,0,2,1,29.0,1,0,2167,27.7208,2,True,False,False
362,0,3,0,45.0,0,1,2691,14.4542,3,True,False,False
363,0,3,1,35.0,0,0,3101310,7.05,2,False,False,True
364,0,3,1,28.0,1,0,370365,15.5,2,False,True,False
365,0,3,1,30.0,0,0,7076,7.25,2,False,False,True
366,1,1,0,60.0,1,0,110813,75.25,3,True,False,False
367,1,3,0,28.0,0,0,2626,7.2292,3,True,False,False
368,1,3,0,28.0,0,0,14313,7.75,1,False,True,False
369,1,1,0,24.0,0,0,17477,69.3,3,True,False,False
370,1,1,1,25.0,1,0,11765,55.4417,2,True,False,False
371,0,3,1,18.0,1,0,3101267,6.4958,2,False,False,True
372,0,3,1,19.0,0,0,323951,8.05,2,False,False,True
373,0,1,1,22.0,0,0,17760,135.6333,2,True,False,False
374,0,3,0,3.0,3,1,349909,21.075,1,False,False,True
375,1,1,0,28.0,1,0,17604,82.1708,3,True,False,False
376,1,3,0,22.0,0,0,7077,7.25,1,False,False,True
377,0,1,1,27.0,0,2,113503,211.5,2,True,False,False
378,0,3,1,20.0,0,0,2648,4.0125,2,True,False,False
379,0,3,1,19.0,0,0,347069,7.775,2,False,False,True
380,1,1,0,42.0,0,0,17757,227.525,1,True,False,False
381,1,3,0,1.0,0,2,2653,15.7417,1,True,False,False
382,0,3,1,32.0,0,0,23101293,7.925,2,False,False,True
383,1,1,0,35.0,1,0,113789,52.0,3,False,False,True
384,0,3,1,28.0,0,0,349227,7.8958,2,False,False,True
385,0,2,1,18.0,0,0,14879,73.5,2,False,False,True
386,0,3,1,1.0,5,2,2144,46.9,0,False,False,True
387,1,2,0,36.0,0,0,27849,13.0,1,False,False,True
388,0,3,1,28.0,0,0,367655,7.7292,2,False,True,False
389,1,2,0,17.0,0,0,1748,12.0,1,True,False,False
390,1,1,1,36.0,1,2,113760,120.0,2,False,False,True
391,1,3,1,21.0,0,0,350034,7.7958,2,False,False,True
392,0,3,1,28.0,2,0,3101277,7.925,2,False,False,True
393,1,1,0,23.0,1,0,35273,113.275,1,True,False,False
394,1,3,0,24.0,0,2,9549,16.7,3,False,False,True
395,0,3,1,22.0,0,0,350052,7.7958,2,False,False,True
396,0,3,0,31.0,0,0,350407,7.8542,1,False,False,True
397,0,2,1,46.0,0,0,28403,26.0,2,False,False,True
398,0,2,1,23.0,0,0,244278,10.5,4,False,False,True
399,1,2,0,28.0,0,0,240929,12.65,3,False,False,True
400,1,3,1,39.0,0,0,23101289,7.925,2,False,False,True
401,0,3,1,26.0,0,0,341826,8.05,2,False,False,True
402,0,3,0,21.0,1,0,4137,9.825,1,False,False,True
403,0,3,1,28.0,1,0,23101279,15.85,2,False,False,True
404,0,3,0,20.0,0,0,315096,8.6625,1,False,False,True
405,0,2,1,34.0,1,0,28664,21.0,2,False,False,True
406,0,3,1,51.0,0,0,347064,7.75,2,False,False,True
407,1,2,1,3.0,1,1,29106,18.75,0,False,False,True
408,0,3,1,21.0,0,0,312992,7.775,2,False,False,True
409,0,3,0,28.0,3,1,4133,25.4667,1,False,False,True
410,0,3,1,28.0,0,0,349222,7.8958,2,False,False,True
411,0,3,1,28.0,0,0,394140,6.8583,2,False,True,False
412,1,1,0,33.0,1,0,19928,90.0,1,False,True,False
413,0,2,1,28.0,0,0,239853,0.0,2,False,False,True
414,1,3,1,44.0,0,0,23101269,7.925,2,False,False,True
415,0,3,0,28.0,0,0,343095,8.05,3,False,False,True
416,1,2,0,34.0,1,1,28220,32.5,3,False,False,True
417,1,2,0,18.0,0,2,250652,13.0,1,False,False,True
418,0,2,1,30.0,0,0,28228,13.0,2,False,False,True
419,0,3,0,10.0,0,2,345773,24.15,1,False,False,True
420,0,3,1,28.0,0,0,349254,7.8958,2,True,False,False
421,0,3,1,21.0,0,0,513032,7.7333,2,False,True,False
422,0,3,1,29.0,0,0,315082,7.875,2,False,False,True
423,0,3,0,28.0,1,1,347080,14.4,3,False,False,True
424,0,3,1,18.0,1,1,370129,20.2125,2,False,False,True
425,0,3,1,28.0,0,0,434244,7.25,2,False,False,True
426,1,2,0,28.0,1,0,2003,26.0,3,False,False,True
427,1,2,0,19.0,0,0,250655,26.0,1,False,False,True
428,0,3,1,28.0,0,0,364851,7.75,2,False,True,False
429,1,3,1,32.0,0,0,392078,8.05,2,False,False,True
430,1,1,1,28.0,0,0,110564,26.55,2,False,False,True
431,1,3,0,28.0,1,0,376564,16.1,3,False,False,True
432,1,2,0,42.0,1,0,3085,26.0,3,False,False,True
433,0,3,1,17.0,0,0,23101274,7.125,2,False,False,True
434,0,1,1,50.0,1,0,13507,55.9,2,False,False,True
435,1,1,0,14.0,1,2,113760,120.0,1,False,False,True
436,0,3,0,21.0,2,2,6608,34.375,1,False,False,True
437,1,2,0,24.0,2,3,29106,18.75,3,False,False,True
438,0,1,1,64.0,1,4,19950,263.0,2,False,False,True
439,0,2,1,31.0,0,0,18723,10.5,2,False,False,True
440,1,2,0,45.0,1,1,13529,26.25,3,False,False,True
441,0,3,1,20.0,0,0,345769,9.5,2,False,False,True
442,0,3,1,25.0,1,0,347076,7.775,2,False,False,True
443,1,2,0,28.0,0,0,230434,13.0,1,False,False,True
444,1,3,1,28.0,0,0,65306,8.1125,2,False,False,True
